date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:23	103545/103545	---M-Z	200	added ('OK')	text/html	etag:%2219479-6532f0e4a04a2-gzip%22	https://techzaa.in/larkon/admin/seller-add.html	techzaa.in/larkon/admin/seller-add.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:23	175051/175051	---M-Z	200	added ('OK')	text/html	etag:%222abcb-6532f0e4a04a2-gzip%22	https://techzaa.in/larkon/admin/seller-details.html	techzaa.in/larkon/admin/seller-details.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:24	550474/550474	---M--	200	added ('OK')	image/jpeg	etag:%228664a-623282c02b376%22	https://techzaa.in/larkon/admin/assets/images/small/img-6.jpg	techzaa.in/larkon/admin/assets/images/small/img-6.jpg	(from https://techzaa.in/larkon/admin/index.html)
11:59:25	94402/94402	---M-Z	200	added ('OK')	text/html	etag:%22170c2-6532f0e496861-gzip%22	https://techzaa.in/larkon/admin/coupons-add.html	techzaa.in/larkon/admin/coupons-add.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:27	183668/183668	---M-Z	200	added ('OK')	text/html	etag:%222cd74-6532f0e497801-gzip%22	https://techzaa.in/larkon/admin/coupons-list.html	techzaa.in/larkon/admin/coupons-list.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:31	110580/110580	---M-Z	200	added ('OK')	text/html	etag:%221aff4-6532f0e49e562-gzip%22	https://techzaa.in/larkon/admin/pages-review.html	techzaa.in/larkon/admin/pages-review.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:32	328483/328483	---M-Z	200	added ('OK')	text/html	etag:%2250323-6532f0e494920-gzip%22	https://techzaa.in/larkon/admin/apps-email.html	techzaa.in/larkon/admin/apps-email.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:32	91033/91033	---M-Z	200	added ('OK')	text/html	etag:%2216399-6532f0e4929e0-gzip%22	https://techzaa.in/larkon/admin/apps-calendar.html	techzaa.in/larkon/admin/apps-calendar.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:34	118468/118468	---M-Z	200	added ('OK')	text/html	etag:%221cec4-6532f0e494920-gzip%22	https://techzaa.in/larkon/admin/apps-todo.html	techzaa.in/larkon/admin/apps-todo.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:36	103942/103942	---M-Z	200	added ('OK')	text/html	etag:%2219606-6532f0e49a6e1-gzip%22	https://techzaa.in/larkon/admin/help-center.html	techzaa.in/larkon/admin/help-center.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:37	91191/91191	---M-Z	200	added ('OK')	text/html	etag:%2216437-6532f0e49f502-gzip%22	https://techzaa.in/larkon/admin/privacy-policy.html	techzaa.in/larkon/admin/privacy-policy.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:37	86048/86048	---M-Z	200	added ('OK')	text/html	etag:%2215020-6532f0e49e562-gzip%22	https://techzaa.in/larkon/admin/pages-starter.html	techzaa.in/larkon/admin/pages-starter.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:37	5360/5360	---M-Z	200	added ('OK')	text/html	etag:%2214f0-623282c060eda-gzip%22	https://techzaa.in/larkon/admin/pages-comingsoon.html	techzaa.in/larkon/admin/pages-comingsoon.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:38	101376/101376	---M-Z	200	added ('OK')	text/html	etag:%2218c00-6532f0e49f502-gzip%22	https://techzaa.in/larkon/admin/pages-timeline.html	techzaa.in/larkon/admin/pages-timeline.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:38	3532/3532	---M-Z	200	added ('OK')	text/html	etag:%22dcc-623282c060eda-gzip%22	https://techzaa.in/larkon/admin/pages-maintenance.html	techzaa.in/larkon/admin/pages-maintenance.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:39	3517/3517	---M-Z	200	added ('OK')	text/html	etag:%22dbd-623282c060eda-gzip%22	https://techzaa.in/larkon/admin/pages-404.html	techzaa.in/larkon/admin/pages-404.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:40	93697/93697	---M-Z	200	added ('OK')	text/html	etag:%2216e01-6532f0e49e562-gzip%22	https://techzaa.in/larkon/admin/pages-404-alt.html	techzaa.in/larkon/admin/pages-404-alt.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:40	6237/6237	---M-Z	200	added ('OK')	text/html	etag:%22185d-623282c0591da-gzip%22	https://techzaa.in/larkon/admin/auth-signup.html	techzaa.in/larkon/admin/auth-signup.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:42	4290/4290	---M-Z	200	added ('OK')	text/html	etag:%2210c2-623282c0591da-gzip%22	https://techzaa.in/larkon/admin/auth-password.html	techzaa.in/larkon/admin/auth-password.html	(from https://techzaa.in/larkon/admin/index.html)
11:59:43	172865/172865	---M-Z	200	added ('OK')	text/html	etag:%222a341-6532f0e4a52c3-gzip%22	https://techzaa.in/larkon/admin/widgets.html	techzaa.in/larkon/admin/widgets.html	(from https://techzaa.in/larkon/admin/index.html)
